,Video,Animal,Body-part,Corrections,Correction ratio (%)
0,test,Animal_1,head,0,0.0
1,test,Animal_1,center,0,0.0
2,test,Animal_1,leftleg,0,0.0
3,test,Animal_1,rightleg,0,0.0
4,video-20231012-045518-7502573c,Animal_1,head,0,0.0
5,video-20231012-045518-7502573c,Animal_1,center,0,0.0
6,video-20231012-045518-7502573c,Animal_1,leftleg,0,0.0
7,video-20231012-045518-7502573c,Animal_1,rightleg,0,0.0
8,video-20231012-055330-3c9be964,Animal_1,head,0,0.0
9,video-20231012-055330-3c9be964,Animal_1,center,0,0.0
10,video-20231012-055330-3c9be964,Animal_1,leftleg,0,0.0
11,video-20231012-055330-3c9be964,Animal_1,rightleg,0,0.0
