FEATURE,FEATURE_IMPORTANCE
Mean_probabilities,0.15
Movement_head,0.13
Sum_probabilities,0.13
All_bp_movements_Animal_1_sum,0.08
Movement_leftleg,0.07
All_bp_movements_Animal_1_mean,0.07
All_bp_movements_Animal_1_max,0.06
Movement_rightleg,0.04
All_bp_movements_Animal_1_min,0.04
Sum_All_bp_movements_Animal_1_mean_7.5,0.03
Mean_All_bp_movements_Animal_1_mean_2,0.03
Sum_All_bp_movements_Animal_1_mean_2,0.03
Mean_All_bp_movements_Animal_1_mean_15,0.02
Sum_All_bp_movements_Animal_1_mean_5,0.02
Sum_All_bp_movements_Animal_1_mean_6,0.02
Mean_All_bp_movements_Animal_1_mean_6,0.02
Mean_All_bp_movements_Animal_1_mean_5,0.02
Mean_All_bp_movements_Animal_1_mean_7.5,0.01
Sum_All_bp_movements_Animal_1_mean_15,0.01
Movement_center,0.01
Low_prob_detections_0.1,0.0
Low_prob_detections_0.5,0.0
Low_prob_detections_0.75,0.0
